usemtl mtl6
6 0 1
5.9 0 1
5.58 0 0.95
5.58 0.3333333333333333 1.05
5.74 0.3333333333333333 1.05
5.74 0.6666666666666666 1.05
5.58 0.6666666666666666 0.9500000000000001
5.42 0.6666666666666666 0.9500000000000001
5.26 0.6666666666666666 1.05
5.26 0.3333333333333333 1.05
5.42 0.3333333333333333 1.05
5.42 0 0.9500000000000001
5.1 0 1
5.000000000000001 0 1
5.000000000000001 0 0.5
4.5 0 0.5
4.5 0 -1
4.4 0 -1
4.08 0 -0.95
4.08 0.3333333333333333 -1.05
4.24 0.3333333333333333 -1.05
4.24 0.6666666666666666 -1.05
4.08 0.6666666666666666 -0.9500000000000001
3.92 0.6666666666666666 -0.9500000000000001
3.76 0.6666666666666666 -1.05
3.76 0.3333333333333333 -1.05
3.92 0.3333333333333333 -1.05
3.92 0 -0.9500000000000001
3.6 0 -1
3.5000000000000004 0 -1
3.5000000000000004 0 0.5
3 0 0.5
3 0 1
2.9 0 1
2.58 0 0.95
2.58 0.3333333333333333 1.05
2.74 0.3333333333333333 1.05
2.74 0.6666666666666666 1.05
2.58 0.6666666666666666 0.9500000000000001
2.42 0.6666666666666666 0.9500000000000001
2.26 0.6666666666666666 1.05
2.26 0.3333333333333333 1.05
2.42 0.3333333333333333 1.05
2.42 0 0.9500000000000001
2.1 0 1
1.9999999999999996 0 1
1.9999999999999996 0 0.5
1.5 0 0.5
1.5 0 -1
1.4 0 -1
1.0799999999999998 0 -0.95
1.0799999999999998 0.3333333333333333 -1.05
1.2399999999999998 0.3333333333333333 -1.05
1.2399999999999998 0.6666666666666666 -1.05
1.0799999999999998 0.6666666666666666 -0.9500000000000001
0.9199999999999998 0.6666666666666666 -0.9500000000000001
0.7599999999999998 0.6666666666666666 -1.05
0.7599999999999998 0.3333333333333333 -1.05
0.9199999999999998 0.3333333333333333 -1.05
0.9199999999999998 0 -0.9500000000000001
0.5999999999999999 0 -1
0.4999999999999999 0 -1
0.4999999999999999 0 0.5
0 0 0.5
0.5 0 1
0.6 0 1
0.9199999999999999 0 0.95
0.9199999999999999 0.3333333333333333 1.05
0.7599999999999999 0.3333333333333333 1.05
0.7599999999999999 0.6666666666666666 1.05
0.9199999999999999 0.6666666666666666 0.9500000000000001
1.0799999999999998 0.6666666666666666 0.9500000000000001
1.2399999999999998 0.6666666666666666 1.05
1.2399999999999998 0.3333333333333333 1.05
1.0799999999999998 0.3333333333333333 1.05
1.0799999999999998 0 0.9500000000000001
1.4 0 1
1.5 0 1
1.5 0.1 0.5
2 0.1 0.5
2 0 -1
2.1 0 -1
2.42 0 -0.95
2.42 0.3333333333333333 -1.05
2.26 0.3333333333333333 -1.05
2.26 0.6666666666666666 -1.05
2.42 0.6666666666666666 -0.9500000000000001
2.58 0.6666666666666666 -0.9500000000000001
2.74 0.6666666666666666 -1.05
2.74 0.3333333333333333 -1.05
2.58 0.3333333333333333 -1.05
2.58 0 -0.9500000000000001
2.9 0 -1
3.0000000000000004 0 -1
3.0000000000000004 0.1 0.5
3.5 0.1 0.5
3.5 0 1
3.6 0 1
3.92 0 0.95
3.92 0.3333333333333333 1.05
3.76 0.3333333333333333 1.05
3.76 0.6666666666666666 1.05
3.92 0.6666666666666666 0.9500000000000001
4.08 0.6666666666666666 0.9500000000000001
4.24 0.6666666666666666 1.05
4.24 0.3333333333333333 1.05
4.08 0.3333333333333333 1.05
4.08 0 0.9500000000000001
4.4 0 1
4.5 0 1
4.5 0.1 0.5
5 0.1 0.5
5 0 -1
5.1 0 -1
5.42 0 -0.95
5.42 0.3333333333333333 -1.05
5.26 0.3333333333333333 -1.05
5.26 0.6666666666666666 -1.05
5.42 0.6666666666666666 -0.9500000000000001
5.58 0.6666666666666666 -0.9500000000000001
5.74 0.6666666666666666 -1.05
5.74 0.3333333333333333 -1.05
5.58 0.3333333333333333 -1.05
5.58 0 -0.9500000000000001
5.9 0 -1
5.999999999999999 0 -1
5.999999999999999 0 0.5
6.5 0 0.5
